scientific.name;source;occurrence;motherbond;motherbond.source;pairbond;pairbond.source;grade;pauly.level;brain.size;body.weight;sex;family;number.prey;source.prey;n.prey;method.prey;names.prey;groups.prey;species
Arctocephalus pusillus doriferus ;Bininda-Emonds 2000;;;;;;;4,1;425;;m;Otariidae;5;Hume et al. 2016;977;scat, regurgitate;actinopterygii, chephalopoda, aves, thaliacea, malacostraca;4;Arctocephaluspusillusdoriferus
Arctocephalus pusillus doriferus ;Bininda-Emonds 2000;;;;;;;4,1;352,5;;f;Otariidae;5;Hume et al. 2016;977;scat, regurgitate;actinopterygii, chephalopoda, aves, thaliacea, malacostraca;4;Arctocephaluspusillusdoriferus
Arctocephalus pusillus pusillus ;Bininda-Emonds 2000;;;;;;;4;377,5;279,5;m;Otariidae;3;Huisamen et al. 2012;445;scat;actinopterygii, cephalopoda, aves;3;Arctocephaluspusillus
Arctocephalus pusillus pusillus ;Bininda-Emonds 2000;;;;;;;4;322,5;78;f;Otariidae;3;Huisamen et al. 2012;445;scat;actinopterygii, cephalopoda, aves;3;Arctocephaluspusillus
Arctocephalus tropicalis ;Bininda-Emonds 2000;subantarctic;;;;;;4,1;322,5;152,5;m;Otariidae;2;Makhado et al. 2013;213;scat;actinopterygii, cephalopoda;2;Arctocephalustropicalis
Arctocephalus tropicalis ;Bininda-Emonds 2000;subantarctic;;;;;;4,1;330;50;f;Otariidae;2;Makhado et al. 2013;213;scat;actinopterygii, cephalopoda;2;Arctocephalustropicalis
Callorhinus ursinus ;Scheffer 1960;north pacific;;;;;;4,2;367;227;m;Otariidae;3;Yonezaki et al. 2008;7104;stomach, dead;actinopterygii, cephalopoda, hyperoartia;2;Callorhinusursinus
Callorhinus ursinus ;Sacher and StafTeldt 1974;north pacific;;;;;;4,2;355;227;m;Otariidae;3;Yonezaki et al. 2008;7104;stomach, dead;actinopterygii, cephalopoda, hyperoartia;2;Callorhinusursinus
Callorhinus ursinus ;Bininda-Emonds 2000;north pacific;;;;;;4,2;335;227;m;Otariidae;3;Yonezaki et al. 2008;7104;stomach, dead;actinopterygii, cephalopoda, hyperoartia;2;Callorhinusursinus
Callorhinus ursinus ;Bininda-Emonds 2000;north pacific;;;;;;4,2;302,5;44,75;f;Otariidae;3;Yonezaki et al. 2008;7104;stomach, dead;actinopterygii, cephalopoda, hyperoartia;2;Callorhinusursinus
Eumetopias jubatus ;Bininda-Emonds 2000;north pacific;;;;;;4,2;747,5;1000;m;Otariidae;2;Trites et al. 2007;1494;scat;actinopterygii, cephalopoda, aves, chondrichthyes, hyperoartia;3;Eumetopiasjubatus
Eumetopias jubatus ;Bininda-Emonds 2000;north pacific;;;;;;4,2;575;287,55;f;Otariidae;2;Trites et al. 2007;1494;scat;actinopterygii, cephalopoda, aves, chondrichthyes, hyperoartia;3;Eumetopiasjubatus
Neophoca cinerea ;Bininda-Emonds 2000;australia;;;;;;4,2;440;300;m;Otariidae;2;Peters et al. 2013;12;dna;actinopterygii, cephalopoda;2;Neophocacinerea
Neophoca cinerea ;Bininda-Emonds 2000;australia;;;;;;4,2;337,5;78,55;f;Otariidae;2;Peters et al. 2014;12;dna;actinopterygii, cephalopoda;2;Neophocacinerea
Otaria byronia;Murie 1874;pacific south america, atlantic south america;;;;;;4;346;300;m;Otariidae;4;Sepu_lveda et al. 2015;8;_13C and _15 ;actinopterygii, cephalopoda, malacostraca, chondrichthyes;3;Otariabyronia
Otaria byronia;Vaz-Ferreira 1981;pacific south america, atlantic south america;;;;;;4;550;300;m;Otariidae;4;Sepu_lveda et al. 2015;8;_13C and _15 ;actinopterygii, cephalopoda, malacostraca, chondrichthyes;3;Otariabyronia
Otaria byronia;Bininda-Emonds 2000;pacific south america, atlantic south america;;;;;;4;542,5;300;m;Otariidae;4;Sepu_lveda et al. 2015;8;_13C and _15 ;actinopterygii, cephalopoda, malacostraca, chondrichthyes;3;Otariabyronia
